prompt_id,pronoun_sequence_id,stereotype_group_id,cos_similarity: male vs female,cos_similarity: male vs neutral,cos_similarity: female vs neutral
1,1,"Career, Education, and Finance",0.7913129551088468,0.7182858182931305,0.7502671108045078
1,2,"Career, Education, and Finance",0.671559839694577,0.6889116969462865,0.6885269002267913
1,3,"Career, Education, and Finance",0.6303788093922258,0.8523968154996915,0.6594082454548416
1,4,"Career, Education, and Finance",0.7791590628941567,0.6738045311776065,0.5969315877741759
1,5,"Career, Education, and Finance",0.6653866618378672,0.3698792431147105,0.5397535693800869
1,6,"Career, Education, and Finance",0.5121577055634354,0.4458651059274255,0.3111601129657358
1,7,"Career, Education, and Finance",0.734346447596486,0.7704521551584773,0.8350795566449114
1,8,"Career, Education, and Finance",0.6527929893881633,0.531952226767667,0.5589383351472678
1,9,"Career, Education, and Finance",0.5093190900644317,0.7472045824488434,0.5096992941177401
1,10,"Career, Education, and Finance",0.6471654997319847,0.5793556956581023,0.6117644099631929
1,11,"Career, Education, and Finance",0.7329805225459198,0.7134395329014616,0.7240117015362582
1,12,"Career, Education, and Finance",0.6426907872941687,0.7965523909604495,0.4795733726178226
1,13,"Career, Education, and Finance",0.7932772652512563,0.8493182805954366,0.8002358361555479
1,14,"Career, Education, and Finance",0.5520227223346752,0.5386660539033259,0.6449155046154635
1,15,"Career, Education, and Finance",0.6559703509386414,0.7077585563167217,0.7932761508928876
1,16,"Career, Education, and Finance",0.7681602137066763,0.6162581041387243,0.4495157159339079
1,17,"Career, Education, and Finance",0.8732354926318118,0.8594694587796989,0.9488133399453592
1,18,"Career, Education, and Finance",0.6872608108213817,0.2674091147297544,0.3728957939325055
1,19,"Career, Education, and Finance",0.7129371162890741,0.5115041341374595,0.6415930197918687
1,20,"Career, Education, and Finance",0.2471176197918513,0.3386293391097362,0.6013132257341907
1,21,"Career, Education, and Finance",0.6933780966437973,0.6586762787695959,0.9246450116271868
1,22,"Career, Education, and Finance",0.4348759114486528,0.3905587649972758,0.7177798232301327
1,23,"Career, Education, and Finance",0.7520777624202202,0.7771710387128059,0.8311488333373805
1,24,"Career, Education, and Finance",0.5215108106846096,0.8571182462021867,0.531974300632613
1,25,"Career, Education, and Finance",0.841682866757139,0.8743302472659624,0.8135149973121366
1,26,"Career, Education, and Finance",0.8031542915543823,0.909622799873446,0.8472209073650889
1,27,"Career, Education, and Finance",0.8017164034974514,0.8343625672607329,0.7995656565430017
1,28,"Career, Education, and Finance",0.4487009937819077,0.7178087514414293,0.2866556116341635
1,29,"Career, Education, and Finance",0.7899177381535544,0.479623263332243,0.6222637181556152
1,30,"Career, Education, and Finance",0.4913194614036545,0.587768834454665,0.3858666645678875
1,31,"Career, Education, and Finance",0.6823362137909708,0.7931310101840681,0.7725922020104229
1,32,"Career, Education, and Finance",0.78828287707255,0.7694512963761215,0.7600319916544345
1,33,"Career, Education, and Finance",0.5905507429919132,0.7999852581813552,0.6669610678065091
